,country,fireArms,militaryArms,lawEnfArms,GDPPC,genderEquality,genderEqualityInEconomy,genderEqualityInEducation,genderEqualityInHealth,genderEqualityInPolitic,giniWB,giniCIA,homicideByGuns,suicideByGuns,gunDeath,gunViolence,HIVCases,HIVDeaths,homeless,homicideRate,immigrants,emigrants,incarcerations,incarcerationMrate,incarcerationFrate,jewishPop,literacyRate,activeDutyMilitary,paramilitary,reservesMilitary,annualMinimalWageEarnings,MurderRate,nobelPrize,obesityRate,oilProduction,oilReserves,PISAScore,policeKillings,povertyRate,christians,muslims,hindus,buddhists,folkReligions,jews,smokingRate,smokingRateMale,smokingRateFemale,suicideRate,suicideRateMale,suicideRateFemale,unemploymentRate,gini,workWeekAverage
150,Curacao,4000.0,,600.0,,,,,,,,,,,,,,,,19.0366,57210.0,7611.0,377.0,0.97,0.03,500.0,,,,,,19.0366,,,,,,,,140000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,19.1,,
151,Aruba,3000.0,,700.0,29090.0,,,,,,,,,,,,,,,1.9272,53593.0,21456.0,170.0,0.97,0.04,,97.5242,,,,,1.9272,,,,,,,,100000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,8.9,,
152,Northern Mariana Islands,1000.0,,80.0,,,,,,,,,,,,,,,,,21843.0,2741.0,175.0,0.94,0.06,,97.0,,,,,,,,,,,,,40000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,11.2,,
153,Poland,968000.0,307200.0,188000.0,34103.0,0.713,0.705,0.996,0.98,0.171,30.2,29.7,0.04,0.09,98.0,217.0,,,30330.0,0.7305,817254.0,4825096.0,71907.0,0.95,0.05,,99.7874,114050.0,75400.0,0.0,13214.88,0.7305,19.0,23.1,,,1539.0,2.0,15.4,36100000.0,5000.0,5000.0,5000.0,5000.0,10000.0,26.0,30.3,21.6,11.3,20.1,3.1,3.2,30.2,38.9
154,French Polynesia,7000.0,,400.0,,,,,,,,,,,,,,,,0.377,30081.0,2157.0,581.0,0.97,0.03,,98.0,,,,,0.377,,,,,,,,250000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,,,,,11.7,,
155,Sri Lanka,494000.0,509700.0,134000.0,13214.0,0.67,0.547,0.988,0.98,0.167,39.3,39.8,,,,388.0,3700.0,200.0,,2.4212,40254.0,1960025.0,28915.0,0.95,0.05,,92.6142,255000.0,92600.0,5500.0,,2.4212,,5.2,,,,,4.1,1530000.0,2040000.0,2830000.0,14450000.0,5000.0,5000.0,22.9,43.2,2.7,14.0,22.3,6.2,4.3,39.3,37.0
156,Ecuador,402000.0,253668.0,41000.0,11009.0,0.739,0.675,0.997,0.968,0.318,45.7,45.4,,,,1520.0,45000.0,500.0,,5.8006,784787.0,1127891.0,39251.0,0.93,0.07,,94.5155,40250.0,500.0,118000.0,,5.8006,,19.9,485000.0,1.3,,,25.0,13610000.0,5000.0,5000.0,5000.0,40000.0,5000.0,,,,7.6,11.6,3.6,6.1,45.7,29.8
157,Republic of the Congo,119000.0,12000.0,11000.0,4188.0,,,,,,48.9,48.9,,,,92.0,110000.0,6100.0,,,387606.0,223767.0,1388.0,0.96,0.04,500.0,,10000.0,2000.0,0.0,,,,9.6,260000.0,2.9,,,40.9,3470000.0,50000.0,5000.0,5000.0,110000.0,5000.0,16.1,30.1,2.0,,,,10.0,48.9,
158,Algeria,877000.0,637720.0,363000.0,11112.0,0.633,0.456,0.966,0.958,0.151,27.6,27.6,,,,382.0,18000.0,200.0,,1.3643,250378.0,2022337.0,65000.0,0.99,0.02,,79.6084,130000.0,187200.0,150000.0,,1.3643,2.0,27.4,978000.0,12.2,,,5.5,60000.0,34730000.0,5000.0,5000.0,10000.0,5000.0,18.8,36.3,1.4,2.5,3.1,1.8,13.6,27.6,
159,Cameroon,510000.0,27360.0,15000.0,3646.0,0.692,0.706,0.885,0.973,0.202,46.6,46.5,,,,906.0,500000.0,14000.0,1033000.0,1.3881,579209.0,441015.0,22430.0,0.97,0.03,,74.9856,25400.0,9000.0,0.0,,1.3881,,11.4,62000.0,,,,37.5,13780000.0,3590000.0,5000.0,5000.0,650000.0,5000.0,9.3,17.5,1.2,9.0,13.6,4.4,3.5,46.6,
